onset	duration	trial_type	nback-nontarget	response_time
27.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
32.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
35.0	0.8093060000000001	nback-nontarget	0.722222	0.0
42.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
52.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
57.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
65.0	0.8093060000000001	nback-nontarget	0.722222	0.0
72.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
77.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
80.0	0.8093060000000001	nback-nontarget	0.722222	0.0
87.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
95.0	0.8093060000000001	nback-nontarget	-0.277778	0.0
100.0	0.8093060000000001	nback-nontarget	-0.277778	0.0
102.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
110.0	0.8093060000000001	nback-nontarget	0.722222	0.0
112.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
117.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
122.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
125.0	0.8093060000000001	nback-nontarget	-0.277778	0.0
210.0	0.8093060000000001	nback-nontarget	0.722222	0.0
212.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
217.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
225.0	0.8093060000000001	nback-nontarget	-0.277778	0.0
227.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
232.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
240.0	0.8093060000000001	nback-nontarget	-0.277778	0.0
245.0	0.8093060000000001	nback-nontarget	0.722222	0.0
247.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
255.0	0.8093060000000001	nback-nontarget	-0.277778	0.0
257.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
262.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
270.0	0.8093060000000001	nback-nontarget	0.722222	0.0
277.5	0.8093060000000001	nback-nontarget	-0.277778	0.0
